Mean,MeanFiltered,Variance,VarianceFiltered,xVariance,yVariance,zVariance,xZeroCrossings,yZeroCrossings,zZeroCrossings,Peaks,PeaksFiltered,ResultantZeroCrossings,ResultantFilteredZeroCrossings,xDCComponent,yDCComponent,zDCComponent,xSpectralEnergy,ySpectralEnergy,zSpectralEnergy,TotalSpectralEnergy,xEntropy,yEntropy,zEntropy,TotalEntropy,xFFTZeroCrossings,yFFTZeroCrossings,zFFTZeroCrossings,Activity
9.47,9.415,0.794,0.167,0.06,0.071,0.004,19,23,11,2,3,48,23,0.57,0.6,2.11,17.424,431.567,368.516,817.507,93.858,4122.046,3524.261,7740.165,44,40,42,Driving
9.487,9.433,0.604,0.219,0.076,0.1,0.007,29,26,11,1,3,49,30,0.62,0.48,0.43,12.408,368.915,362.786,744.109,57.872,3451.448,3304.566,6813.886,39,42,38,Driving
9.441,9.401,0.571,0.193,0.065,0.079,0.003,25,22,10,3,8,48,29,1.3,0.69,2.22,11.65,364.159,413.224,789.033,54.522,3368.513,3962.797,7385.832,42,36,38,Driving
9.371,9.318,0.781,0.327,0.103,0.122,0.003,24,28,15,4,4,48,31,1.71,1.12,0.055,16.023,707.399,870.103,1593.525,84.592,7438.705,9439.623,16962.92,39,34,30,Driving
9.415,9.397,2.027,0.521,0.204,0.218,0.002,23,23,16,3,12,45,24,0.4,1.38,0.341,47.672,1427.34,1648.445,3123.457,298.795,17446.816,20397.384,38142.995,46,35,35,Driving
9.464,9.374,2.474,0.55,0.227,0.244,0.009,22,22,12,4,8,45,33,0.261,1.07,1.62,57.024,2559.028,2758.945,5374.997,370.287,33620.302,36514.006,70504.595,50,42,38,Driving
9.469,9.326,1.447,0.373,0.122,0.154,0.012,19,23,9,2,1,46,40,0.57,0.5,1.75,28.878,611.855,688.562,1329.295,171.077,6194.686,7100.007,13465.77,41,37,41,Driving
9.483,9.382,1.14,0.342,0.112,0.134,0.015,21,23,15,2,5,44,31,1.1,0.17,1.58,23.144,560.53,687.485,1271.159,128.689,5603.628,7328.587,13060.904,43,40,38,Driving
9.491,9.43,1.205,0.533,0.175,0.22,0.018,37,37,10,2,6,50,37,0.75,0.319,2.63,25.981,952.084,1090.277,2068.342,160.632,9993.159,11726.673,21880.464,40,39,37,Driving
9.491,9.462,0.831,0.396,0.129,0.172,0.008,39,37,7,6,3,48,39,0.251,0.37,0.33,15.888,774.993,956.555,1747.436,92.917,7928.872,10187.845,18209.634,45,38,38,Driving
9.449,9.445,0.751,0.255,0.083,0.107,0.005,27,29,12,1,2,42,32,0.045,0.49,0.46,15.73,474.872,587.469,1078.071,81.747,4667.08,6051.604,10800.431,39,40,31,Driving
9.461,9.438,1.009,0.296,0.106,0.131,0.009,23,29,14,2,2,41,30,1.27,0.37,1.44,21.98,952.29,1072.526,2046.796,120.044,10880.098,12509.282,23509.424,39,31,37,Driving
